Metascore,BoxOffice,Website,imdbRating,imdbVotes,Runtime,Language,Rated,Production,Released,imdbID,Plot,Director,Title,Actors,Response,Type,Awards,DVD,Year,Poster,Country,Genre,Writer
N/A,N/A,N/A,5.8,22,90 min,French,N/A,N/A,14 Mar 1956,tt0048100,N/A,Robert Darène,Kiss of Fire,"Jean Marais, Kerima, Delia Scala, Charles Moulin",True,movie,1 win.,N/A,1956,https://images-na.ssl-images-amazon.com/images/M/MV5BNzBkMWM1ZjgtZDBmMy00N2U4LWIzNjMtMTAzMmQyOTIxYjlkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_SX300.jpg,"Italy, France","Drama, Romance","Jean Martet (novel), René Barjavel (dialogue), René Barjavel (screenplay), Robert Darène (screenplay)"
N/A,N/A,N/A,N/A,N/A,N/A,Spanish,N/A,N/A,N/A,tt0048101,N/A,Fernando Méndez,Fugitivos: Pueblo de proscritos,"Joaquín Cordero, Evangelina Elizondo, José Elías Moreno, Arturo Martínez",True,movie,1 nomination.,N/A,1955,N/A,Mexico,"Adventure, Drama, Western","Gilberto Gazcón (adaptation), Valentín Gazcón (story)"
N/A,N/A,N/A,N/A,N/A,77 min,English,N/A,N/A,09 Apr 1965,tt0048102,N/A,George Bruce,Fury in Paradise,"Peter M. Thompson, Rebeca Iturbide, Eduardo Noriega, Felipe Nolan",True,movie,N/A,N/A,1955,N/A,"Mexico, USA",Western,George Bruce
N/A,N/A,N/A,5.2,89,96 min,French,N/A,N/A,26 Apr 1955,tt0048103,"At the Conservatory of Vienna the student only have eyes for their beautiful singing teacher, tenor Eric Walter.",Marc Allégret,School for Love,"Jean Marais, Brigitte Bardot, Isabelle Pia, Yves Robert",True,movie,N/A,N/A,1955,https://images-na.ssl-images-amazon.com/images/M/MV5BNmQ3MDA0MzQtZjg4Ni00MzlkLWFmMzgtOGE3OWNkZGM3ZDU1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,France,"Comedy, Drama","Marc Allégret (adaptation), Vicki Baum (novel), France Roche, Roger Vadim (adaptation), Roger Vadim (dialogue)"
N/A,N/A,N/A,7.4,152,118 min,French,N/A,N/A,24 Jan 1955,tt0048104,"After the rejection of their latest - and preposterous - scenario, two script writers get back to basics to prepare a new movie. The new scenario centers on Henriette, a pretty, lively ...",Julien Duvivier,Holiday for Henrietta,"Dany Robin, Michel Auclair, Hildegard Knef, Louis Seigner",True,movie,N/A,N/A,1952,https://images-na.ssl-images-amazon.com/images/M/MV5BNGQ3NzNmNGEtNzE1Ni00YTQxLWI4NDItNTViMjc3M2Y1MmI2XkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1_SX300.jpg,France,Comedy,"Julien Duvivier, Henri Jeanson (dialogue)"
N/A,N/A,N/A,4.8,19,103 min,German,N/A,N/A,18 Nov 1955,tt0048105,N/A,Robert A. Stemmle,Die Försterbuben,"Hermann Erhardt, Kurt Heintel, Erich Auer, Annie Rosar",True,movie,N/A,N/A,1955,N/A,West Germany,Drama,"Peter Rosegger (novel), Robert A. Stemmle"
N/A,N/A,N/A,6.5,71,10 min,English,AO,N/A,30 Jul 1955,tt0048106,'Assembled from dozens of film clips, with voice-over narration, this short film is a humorous little history of a very big event, the coming of the automobile." It highlights the first few decades of autos and their impact in the U.S.',Robert Youngson,Gadgets Galore,"Dwight Weist, Ward Wilson, Barney Oldfield",True,movie,N/A,N/A,1955,https://m.media-amazon.com/images/M/MV5BN2NkYmI1ODMtYWJhNy00NDQ0LWJlYjEtMzJiYjZkMzg3YjYwXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg,USA,"Short, History",Robert Youngson
N/A,N/A,N/A,5.4,33,8 min,English,N/A,N/A,N/A,tt0048107,'In this Sportscope series entry, 'Brian Bergen (I)', a real-life "game protector" for New York state, is shown performing his various duties. This includes checking peoples' fishing ...',Harry W. Smith,Game Warden,"Peter Roberts, Bryan Burgin, Bob Burgin",True,movie,N/A,N/A,1955,N/A,USA,"Documentary, Short",N/A
N/A,N/A,N/A,5.1,77,92 min,English,N/A,Visual Drama Inc.,01 Sep 1957,tt0048108,"A composite of three re-edited episodes from the 1952 TV series, Gangbusters, released to theatres in 1957 as a feature film. Gang Busters (1954) was a similar effort.","Richard C. Kahn, Bill Karn",Guns Don't Argue,"Myron Healey, Jean Harvey, Paul Dubov, Sam Edwards",True,movie,N/A,N/A,1957,https://images-na.ssl-images-amazon.com/images/M/MV5BMjg2MjM1NTYzOV5BMl5BanBnXkFtZTgwNTgyMjg1MjE@._V1_SX300.jpg,USA,"Crime, Drama","William Faris, Phillips Lord"
N/A,N/A,N/A,6.4,332,92 min,French,N/A,N/A,18 Oct 1955,tt0048109,"After a spending the night with his girlfriend, trucker Jean encounters a dead body on the road home. He reports the incident to the police who suspect that Jean was responsible for the death.",Gilles Grangier,Hi-Jack Highway,"Jean Gabin, Jeanne Moreau, Gaby Basset, Simone Berthier",True,movie,N/A,N/A,1955,https://m.media-amazon.com/images/M/MV5BNTdiNzFlNjMtMzJmNi00NDU5LWE2NzUtMmI0ZTdhMWNjYmExXkEyXkFqcGdeQXVyNjUzNzcwMjc@._V1_SX300.jpg,France,"Crime, Drama","Georges Bayle (novel), Michel Audiard (dialogue), Michel Audiard (screenplay), Gilles Grangier"
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tt0033651,N/A,N/A,#DUPE#,N/A,True,movie,N/A,N/A,1941,N/A,N/A,N/A,N/A
N/A,N/A,N/A,5.2,421,99 min,"English, French",NOT RATED,United Artists,29 Oct 1955,tt0048111,"Two Broadway showgirls, who are also sisters, are sick and tired of New York as well as not getting nowhere. Quitting Broadway, the sisters decided to travel to Paris to become famous.",Richard Sale,Gentlemen Marry Brunettes,"Jane Russell, Jeanne Crain, Alan Young, Scott Brady",True,movie,N/A,N/A,1955,https://images-na.ssl-images-amazon.com/images/M/MV5BYWMzZGE3ZDItM2Q0Mi00Y2UzLWE4MmMtNTUwMTFmMDhjMTNiXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg,USA,"Comedy, Musical","Anita Loos (novel), Mary Loos (written for the screen by), Richard Sale (written for the screen by)"
N/A,N/A,N/A,7.1,652,93 min,English,N/A,N/A,01 Sep 1955,tt0048112,Geordie is a Scots lad sent to the Melbourne Olympics to represent Britain in Hammer-Throwing. He insists on wearing his kilt...,Frank Launder,Wee Geordie,"Alastair Sim, Bill Travers, Paul Young, Norah Gorsen",True,movie,N/A,07 Oct 2008,1955,https://ia.media-imdb.com/images/M/MV5BM2I4NTMyNDAtOWM5Yi00MmYzLWJkMzEtOTY2ZDk4NmU4MzM1XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,UK,"Comedy, Drama, Romance","David Walker (novel), Sidney Gilliat (screenplay), Frank Launder (screenplay)"
N/A,N/A,N/A,5.4,14,96 min,German,N/A,N/A,08 Mar 1955,tt0048113,N/A,Georg Jacoby,"Gestatten, mein Name ist Cox","Johannes Heesters, Claude Borelli, Kurt Meisel, Wolfgang Wahl",True,movie,N/A,N/A,1955,N/A,West Germany,Crime,"Alexandra Becker (radio plays), Rolf Becker (novel), Rolf Becker (screenplay), Georg Jacoby, Joachim Wedekind"
N/A,N/A,N/A,5.8,48,67 min,German,N/A,N/A,01 Jan 1967,tt0048114,N/A,Herbert B. Fredersdorf,Der gestiefelte Kater,"Margitta Sonke, Harry Wüstenhagen, Christa Oenicke, F.W. Schröder-Schrom",True,movie,N/A,N/A,1955,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwOTA4MTUyMV5BMl5BanBnXkFtZTcwMTM0MTgyMQ@@._V1_SX300.jpg,West Germany,"Family, Romance, Fantasy","Jacob Grimm (story), Wilhelm Grimm (story), Christof Schulz-Gellen"
N/A,N/A,http://dgeneratefilms.com/catalog/ghost-town-fei-cheng,6.1,67,77 min,English,Not Rated,MoMA,01 Mar 1956,tt0048115,"Under attack by Indians, passengers on a stagecoach reveal their true nature as the pressure mounts.",Allen H. Miner,Ghost Town,"Kent Taylor, John Smith, Marian Carr, Serena Sande",True,movie,N/A,N/A,1956,https://m.media-amazon.com/images/M/MV5BMTczNjUyOTY5Ml5BMl5BanBnXkFtZTcwMTAyMTYyMQ@@._V1_SX300.jpg,USA,Western,Jameson Brewer (story and screenplay)
N/A,N/A,N/A,5.9,18,74 min,Swedish,N/A,N/A,19 Sep 1955,tt0048116,"The General's daughter, Helene, grows up in a safe world. She doesn't want to get married or have kids. She meets a man who talks about platonic love which seems to fit her nice. They get ...",Anders Henrikson,Of Love and Lust,"Anita Björk, Anders Henrikson, Elsa Carlsson, Edvin Adolphson",True,movie,N/A,N/A,1955,N/A,Sweden,Drama,"Kathrine Aurell, Tage Aurell, August Strindberg (novel)"
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01 Apr 1955,tt0048117,N/A,Kôzaburô Yoshimura,Ginza no onna,"Nobuko Otowa, Sumiko Hidaka, Yukiko Todoroki, Jô Shishido",True,movie,N/A,N/A,1955,N/A,Japan,N/A,"Kaneto Shindô, Nisan Takahashi"
N/A,N/A,N/A,5.2,93,85 min,English,APPROVED,N/A,01 Sep 1955,tt0048118,"In this comedy sequel to Wonderful Town, Kim, a museum worker from Providence, Rhode Island, inherits half ownership of a Las Vegas hotel when her father dies.",Robert Pirosh,The Girl Rush,"Rosalind Russell, Fernando Lamas, Eddie Albert, Gloria DeHaven",True,movie,N/A,N/A,1955,https://images-na.ssl-images-amazon.com/images/M/MV5BMGUwNjk1MTUtY2MxYS00YzlmLWE0OWQtYjM5MjU2NTY4N2Q0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,USA,"Comedy, Musical","Robert Pirosh (screenplay), Jerry Davis (screenplay), Phoebe Ephron (story), Henry Ephron (story)"
N/A,N/A,N/A,6.5,721,109 min,"English, French",Approved,Fox,01 Oct 1955,tt0048119,"The Girl in the Red Velvet Swing is the true story of Evelyn Nesbit Shaw, a beautiful showgirl caught in a love triangle with elderly architect Stanford White and eccentric young millionaire Harry K. Thaw.",Richard Fleischer,The Girl in the Red Velvet Swing,"Ray Milland, Joan Collins, Farley Granger, Luther Adler",True,movie,N/A,10 Jul 2007,1955,https://m.media-amazon.com/images/M/MV5BYjUzMzcxYzktNDA4My00NDU3LWEyZDItNGNkZTk2YmY3NzliXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,USA,"Biography, Crime, Drama, History, Romance","Walter Reisch, Charles Brackett"
N/A,N/A,N/A,N/A,N/A,N/A,Italian,N/A,N/A,14 Oct 1955,tt0048120,N/A,Roberto Bianchi Montero,Giuramento d'amore,"Rosario Borelli, Ileana Lauro, Elli Parvo, Emilio Cigoli",True,movie,N/A,N/A,1955,N/A,Italy,N/A,"Roberto Bianchi Montero (story), Roberto Bianchi Montero, Antonio Ferrigno (story), Antonio Ferrigno, Giovanni d'Eramo"
